name,reviews,types,type,website,category,latitude,longitude,popularity
Daiichi Sankyo Medicine Museum,295.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://kusuri-museum.com/,general,35.6884575,139.7757899,D
Japan Olympic Museum,1260.0,"[
  ""Museum""
]",Museum,https://japan-olympicmuseum.jp/,general,35.6749203,139.7151887,C
Kabutocho Kayabacho Machikado Museum,12.0,"[
  ""Local history museum"",
  ""Museum""
]",Local history museum,http://chuoku-machikadotenjikan.jp/tenjikan/kabutocho_kayabacho/,history,35.6795617,139.77716329999998,E
Roppongi Museum,1757.0,"[
  ""Museum""
]",Museum,https://roppongimuseum.jp/,general,35.6596985,139.73406169999998,C
Water Supply Pipe Inlet Museum,46.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,http://www.zentech.co.jp/museum/,stem,35.667434799999995,139.7553705,E
National Showa Memorial Museum,1198.0,"[
  ""Heritage museum"",
  ""History museum"",
  ""National museum"",
  ""Tourist attraction""
]",Heritage museum,http://www.showakan.go.jp/,history,35.6950861,139.750718,C
Button Museum,24.0,"[
  ""Handicraft museum"",
  ""Museum""
]",Handicraft museum,http://www.iris.co.jp/muse/,specialty,35.6912838,139.7877757,E
Suntory Museum of Art,2364.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.suntory.co.jp/sma/,art,35.6664406,139.73041569999998,B
Space Travelium TeNQ,1039.0,"[
  ""Museum of space history""
]",Museum of space history,http://www.tokyo-dome.co.jp/tenq/,stem,35.7036365,139.7519268,C
National Museum of Territory and Sovereignty,303.0,"[
  ""National museum""
]",National museum,https://www.cas.go.jp/jp/ryodo/tenjikan/,general,35.669945399999996,139.74772439999998,D
The Sumida Hokusai Museum,5529.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,https://hokusai-museum.jp/,art,35.6963313,139.800414,A
Tokyo National Museum Toyokan (Asian Gallery),1857.0,"[
  ""National museum""
]",National museum,https://www.tnm.jp/modules/r_exhibition/index.php?controller=hall&hid=13&lang=ja,general,35.7180264,139.7767237,C
Wild Silk Museum,23.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://wildsilk.jp/,general,35.6782606,139.7999304,E
World Bags & Luggage Museum,314.0,"[
  ""Handicraft museum"",
  ""Museum"",
  ""Tourist attraction""
]",Handicraft museum,https://www.ace.jp/museum/index.html,specialty,35.708051999999995,139.7952856,D
Fujifilm Photo History Museum,163.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://fujifilmsquare.jp/guide/museum.html,general,35.6653782,139.7301815,D
Kyoritsujoshidaigaku Museum,10.0,"[
  ""Museum""
]",Museum,https://www.kyoritsu-wu.ac.jp/muse/,general,35.693874699999995,139.7563776,E
El Paso Museum of Art,1579.0,"[
  ""Modern art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Modern art museum,https://epma.art/,art,31.7585876,-106.4902692,C
Temecula Valley Museum,200.0,"[
  ""Museum"",
  ""Gift shop"",
  ""Tourist attraction""
]",Museum,http://www.temeculavalleymuseum.org/,general,33.4974736,-117.1509456,D
San Antonio Museum of Art,4179.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,http://www.samuseum.org/,art,29.4372761,-98.4821898,B
Northwest Museum of Arts & Culture,1640.0,"[
  ""History museum"",
  ""Art museum"",
  ""Cafe"",
  ""Gift shop"",
  ""Local history museum"",
  ""Museum"",
  ""Tourist attraction""
]",History museum,http://www.northwestmuseum.org/,history,47.656959199999996,-117.445495,C
Min-on Music Museum,435.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://museum.min-on.or.jp/,general,35.6823686,139.7192584,D
Japan Stationery Museum,45.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.nihon-bungu-shiryoukan.com/,general,35.6967743,139.7888264,E
Ōta Memorial Museum of Art,1829.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.ukiyoe-ota-muse.jp/,art,35.6693959,139.7049808,C
Kokugakuin University Museum,799.0,"[
  ""History museum"",
  ""Archaeological museum"",
  ""Tourist attraction""
]",History museum,http://museum.kokugakuin.ac.jp/,history,35.6563933,139.7111598,C
Tokyo National Museum Hyokeikan,1029.0,"[
  ""National museum"",
  ""Museum"",
  ""Tourist attraction""
]",National museum,http://www.tnm.jp/modules/r_exhibition/index.php?controller=hall&hid=8&lang=ja,general,35.718566599999996,139.77534559999998,C
Meiji Jingu Museum,403.0,"[
  ""Museum""
]",Museum,https://www.meijijingu.or.jp/museum/,general,35.6723303,139.70212569999998,D
Edo Taitō Traditional Crafts Museum,293.0,"[
  ""Handicraft museum"",
  ""Handicraft fair"",
  ""Museum""
]",Handicraft museum,https://craft.city.taito.lg.jp/kogeikan/,specialty,35.7163635,139.7938384,D
Sumō Museum,976.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.sumo.or.jp/KokugikanSumoMuseum/,general,35.6971152,139.7931224,C
Shinjuku Gyoen Museum,36.0,"[
  ""Museum""
]",Museum,https://fng.or.jp/shinjuku/2022/12/03/20221203-02/,general,35.6860387,139.71280489999998,E
YAYOI KUSAMA Museum,2068.0,"[
  ""Art museum""
]",Art museum,https://yayoikusamamuseum.jp/,art,35.7031852,139.7264985,B
Ocha Culture Creation Museum | Oi Ocha Museum,85.0,"[
  ""Museum""
]",Museum,https://www.ochamuseum.jp/,general,35.6660129,139.76143199999999,D
SOUGOU MANSION MUSEUM,,"[
  ""Technology museum""
]",Technology museum,https://www.sumitomo-rd-mansion.jp/shuto/museum/?argument=pBSpiw1V&dmai=a6487ef7ede072,stem,35.6629603,139.7606501,E
Idemitsu Museum of Arts,1425.0,"[
  ""Art museum""
]",Art museum,https://idemitsu-museum.or.jp/,art,35.6763597,139.7609574,C
i-muse IHI History Museum,88.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,http://www.ihi.co.jp/i-muse/,stem,35.6591702,139.7931601,D
Tokyo National Museum Museum Shop,239.0,"[
  ""Museum"",
  ""Home goods store"",
  ""Souvenir store""
]",Museum,https://www.tnm-shop.jp/,general,35.7187309,139.7760487,D
Fire Museum,2068.0,"[
  ""Museum"",
  ""Technology museum"",
  ""Tourist attraction""
]",Museum,https://www.tfd.metro.tokyo.lg.jp/hp-hkkan/museum.html,general,35.6882599,139.7199694,B
Okura Museum of Art,415.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.shukokan.org/,art,35.6670149,139.7433053,D
Tokyo Metropolitan Teien Art Museum,4058.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.teien-art-museum.ne.jp/,art,35.6369465,139.7190408,B
三菱一号館 歴史資料室,1.0,"[
  ""Museum""
]",Museum,https://mimt.jp/museum/history/,general,35.6786785,139.7634201,E
KAZEN CECCO BONANOTTE MUSEUM,,"[
  ""Art museum""
]",Art museum,https://www.kazen-ceccobonanotte-museum.jp/,art,35.694216,139.7801276,E
Great Kanto Earthquake Memorial Museum,383.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,https://www.tokyoireikyoukai.or.jp/museum/history.html,history,35.6997261,139.7968881,D
Ogawa Museum,,"[
  ""Art museum""
]",Art museum,http://www.ogawa-museum.jp/aboutus.html,art,35.679721,139.738677,E
Yayoi Museum,776.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,https://www.yayoi-yumeji-museum.jp/,art,35.7148861,139.7634696,C
Tokyo Waterworks Historical Museum,830.0,"[
  ""Heritage museum"",
  ""History museum"",
  ""Museum"",
  ""Tourist attraction""
]",Heritage museum,https://www.suidorekishi.jp/,history,35.7033379,139.7604922,C
Kao Museum,5.0,"[
  ""Technology museum""
]",Technology museum,https://www.kao.com/jp/corporate/outline/tour/kao-museum/,stem,35.7058408,139.8260383,E
Aku You Memorial Museum,37.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.meiji.ac.jp/akuyou/,general,35.6985501,139.7618692,E
"Ueno Pavilion, University Art Museum, Tokyo University of the Arts",1435.0,"[
  ""Art museum""
]",Art museum,https://museum.geidai.ac.jp/,art,35.7192079,139.7718863,C
The National Museum of Emerging Science and Innovation (Miraikan),14357.0,"[
  ""Science museum"",
  ""Museum"",
  ""Tourist attraction""
]",Science museum,https://www.miraikan.jst.go.jp/,stem,35.619335899999996,139.7763995,A
teamLab Planets TOKYO DMM,36122.0,"[
  ""Modern art museum"",
  ""Museum"",
  ""Theme park"",
  ""Tourist attraction""
]",Modern art museum,https://www.teamlab.art/jp/e/planets/,art,35.6491207,139.7897739,A
The Gundam Base Tokyo,16294.0,"[
  ""Toy store"",
  ""Hobby store"",
  ""Tourist attraction"",
  ""Toy museum""
]",Toy store,https://www.gundam-base.net/,specialty,35.6254768,139.77613829999999,A
"Museum of Marine Science, Tokyo University of Marine Science and Technology",124.0,"[
  ""Museum"",
  ""Natural history museum"",
  ""Science museum"",
  ""Tourist attraction""
]",Museum,https://www.s.kaiyodai.ac.jp/msm/index.html,general,35.627522299999995,139.7482052,D
WHAT MUSEUM,174.0,"[
  ""Modern art museum"",
  ""Art museum"",
  ""Museum""
]",Modern art museum,https://what.warehouseofart.org/,art,35.6207667,139.7486878,D
small worlds miniature museum,4031.0,"[
  ""Theme park"",
  ""Art museum"",
  ""Cafe"",
  ""Cafeteria""
]",Theme park,https://www.smallworlds.jp/,specialty,35.6379228,139.7883556,B
Yamato Group History Museum,222.0,"[
  ""Museum"",
  ""Exhibit"",
  ""History museum""
]",Museum,https://www.yamato-hd.co.jp/museum/,general,35.6265651,139.7451697,D
MAKI Collection,12.0,"[
  ""Modern art museum""
]",Modern art museum,http://www.makigallery.com/,art,35.6191655,139.7465863,E
Keio Museum Commons,19.0,"[
  ""Museum""
]",Museum,https://kemco.keio.ac.jp/,general,35.6487839,139.7443222,E
Landscape with the Ship Science Museum (100 views of Shinagawa),5.0,"[
  ""Maritime museum""
]",Maritime museum,,specialty,35.6208688,139.77295479999998,E
The Museum of Package Culture,89.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,https://package-museum.jp/,stem,35.6240801,139.729491,D
Shinagawa Historical Museum,323.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,http://www.city.shinagawa.tokyo.jp/jigyo/06/historyhp/hsindex.html,history,35.5968587,139.7299596,D
Archi-Depot,390.0,"[
  ""Technology museum"",
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,https://archi-depot.com/,stem,35.6208795,139.74876079999999,D
Shokutokurashinochiisana Museum,26.0,"[
  ""Museum""
]",Museum,https://www.ajinomoto.co.jp/kfb/museum/,general,35.63284,139.7328168,E
Tokyo Water Science Museum,1128.0,"[
  ""Science museum"",
  ""Tourist attraction""
]",Science museum,http://www.mizunokagaku.jp/,stem,35.6308444,139.78548329999998,C
Yamatane Museum of Art,2299.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,https://www.yamatane-museum.jp/,art,35.6531502,139.7136591,B
d47 Museum,250.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.d-department.com/ext/shop/d47.html,art,35.6591041,139.703742,D
Beni Museum,152.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.isehanhonten.co.jp/museum/index.html,art,35.65992,139.717978,D
Madame Tussauds Tokyo,994.0,"[
  ""Wax museum""
]",Wax museum,https://www.madametussauds.com/tokyo/,specialty,35.6287995,139.7758901,C
Museum of Contemporary Art Tokyo - MOT,3019.0,"[
  ""Modern art museum"",
  ""Art museum"",
  ""Museum""
]",Modern art museum,https://www.mot-art-museum.jp/,art,35.679746699999995,139.80819209999999,B
Meguro Parasitological Museum,2312.0,"[
  ""Museum of zoology"",
  ""Museum"",
  ""Tourist attraction""
]",Museum of zoology,https://www.kiseichu.org/,history,35.6316814,139.7066661,B
The Shoto Museum of Art,1099.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.shoto-museum.jp/,art,35.6586207,139.6916654,C
Yoku Moku Museum,135.0,"[
  ""Museum""
]",Museum,https://www.yokumokumuseum.com/,general,35.6595715,139.71402659999998,D
