name,reviews,types,type,website,category,latitude,longitude,popularity
Ichikawa City Museum of Literature,82.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.city.ichikawa.lg.jp/cul06/litera.html,general,35.715678,139.93194069999998,D
Mori Arts Museum,,"[
  ""Art museum""
]",Art museum,https://www.mori.art.museum/en/,art,35.661349,139.7366371,E
江戸小紋・江戸更紗博物館 【 大松染工場 】,2.0,"[
  ""Museum""
]",Museum,https://edokomon-daimatsu.com/?page_id=1266,general,35.7175576,139.825973,E
Hinodai Shell Midden Museum,146.0,"[
  ""Archaeological museum""
]",Archaeological museum,https://www.city.funabashi.lg.jp/shisetsu/bunka/0001/0006/0001/p036786.html,history,35.710729799999996,139.97488339999998,D
MMT + KNB + YTV Museum,,"[
  ""Museum""
]",Museum,,general,35.6658428,139.7636498,E
Miyamoto-Unosuke Drum Museum,121.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.miyamoto-unosuke.co.jp/taikokan/,general,35.7118209,139.7917934,D
AkeruE (Akerue) Panasonic Creative Museum,83.0,"[
  ""Museum""
]",Museum,https://holdings.panasonic/jp/corporate/center-tokyo/akerue.html,general,35.633150199999996,139.7905276,D
Ichikawa-Gyotoku Local History Museum,19.0,"[
  ""Local history museum""
]",Local history museum,http://www.city.ichikawa.lg.jp/cul01/1111000189.html,history,35.690435799999996,139.91550709999999,E
Rokucho Museum Flora,100.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://rokucho-museum.sakura.ne.jp/,art,35.783260399999996,139.8200865,D
Tabata Memorial Museum of Writers and Artists,196.0,"[
  ""Heritage museum"",
  ""Museum"",
  ""Tourist attraction""
]",Heritage museum,http://www.kitabunka.or.jp/tabata/,history,35.7384181,139.7593295,D
Japanese Gallery (Honkan),230.0,"[
  ""National museum""
]",National museum,https://www.tnm.jp/,general,35.718623,139.7762726,D
TOMO City Museum of Art,11.0,"[
  ""Art museum""
]",Art museum,https://tomotosi.com/tomo-museum/,art,35.70933,139.82636779999999,E
The National Museum of Western Art,9783.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.nmwa.go.jp/jp/,art,35.7153869,139.77581379999998,A
UR Machitokurashino Museum,84.0,"[
  ""Museum""
]",Museum,https://akabanemuseum.ur-net.go.jp/,general,35.7768137,139.7158706,D
Masakunirikikoshoguhamono Museum,4.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.masakuni.com/,general,35.8066757,139.7328905,E
Candy Candy Museum,15.0,"[
  ""Museum""
]",Museum,,general,35.7579394,139.8757799,E
Uemura Museum Tokyo,215.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.uemura-museum-tokyo.jp/,general,35.753698199999995,139.7156311,D
Sekido Museum of Art,100.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://sekido-museum.jp/,art,35.740815,139.7959618,D
Ikenami Shotaro Memorial Museum,101.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://library.city.taito.lg.jp/ikenami/,general,35.7172607,139.7898921,D
Tora-san Museum,3569.0,"[
  ""Museum"",
  ""Local history museum"",
  ""Tourist attraction""
]",Museum,http://www.katsushika-kanko.com/tora/,general,35.757149999999996,139.8805083,B
Tokyo National Museum - Heiseikan,4100.0,"[
  ""National museum""
]",National museum,http://www.tnm.jp/modules/r_exhibition/index.php?controller=hall&hid=10,general,35.7199716,139.77551889999998,B
Shibusawa Memorial Museum,481.0,"[
  ""Museum"",
  ""History museum"",
  ""Tourist attraction""
]",Museum,https://www.shibusawa.or.jp/,general,35.749122799999995,139.739192,D
Adachi Steam Locomotive Museum,4.0,"[
  ""Rail museum""
]",Rail museum,https://blog.goo.ne.jp/adachi_sl,history,35.7868954,139.8344333,E
Japan Kaleidoscope Museum,20.0,"[
  ""Handicraft museum"",
  ""Adult education school""
]",Handicraft museum,http://nihonmangekyouhakubutsukan.jimdo.com/,specialty,35.8050749,139.7186332,E
Tsubouchi Memorial Theatre Museum,252.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.waseda.jp/enpaku/,general,35.709958,139.7195519,D
Banknote and Postage Stamp Museum,487.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,https://www.npb.go.jp/ja/museum/,stem,35.7543923,139.7393021,D
Otani Museum,304.0,"[
  ""Art museum"",
  ""Historical landmark"",
  ""Tourist attraction""
]",Art museum,http://www.otanimuseum.or.jp/kyufurukawatei/,art,35.7430419,139.7459285,D
Women's Active Museum on War and Peace,123.0,"[
  ""War museum"",
  ""Tourist attraction""
]",War museum,https://wam-peace.org/,history,35.7080224,139.71633359999998,D
Yoshida Kichizo Memorial Museum,6.0,"[
  ""Museum""
]",Museum,https://a-round.info/live_2020_autumn/shop/yoshidakaban/,general,35.719572899999996,139.8042582,E
Taitō City Calligraphy Museum,272.0,"[
  ""Museum"",
  ""Art museum"",
  ""Tourist attraction""
]",Museum,https://www.taitogeibun.net/shodou/,general,35.7247598,139.77622929999998,D
Asakura Museum of Sculpture,1000.0,"[
  ""Sculpture museum"",
  ""Museum"",
  ""Tourist attraction""
]",Sculpture museum,https://www.taitogeibun.net/asakura/,art,35.7268444,139.76852499999998,C
Tokyo National Museum - Kuroda Memorial Hall,388.0,"[
  ""Art museum"",
  ""Museum""
]",Art museum,http://www.tobunken.go.jp/kuroda/,art,35.7188856,139.7733811,D
Ancient Orient Museum,434.0,"[
  ""Archaeological museum"",
  ""Museum"",
  ""Tourist attraction""
]",Archaeological museum,https://aom-tokyo.com/,history,35.7288381,139.7209159,D
Printing Museum,1150.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,https://www.printing-museum.org/,stem,35.7089468,139.74127529999998,C
Tokyokaseidaigaku Museum,12.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.tokyo-kasei.ac.jp/hakubutu/,general,35.7551245,139.7213526,E
Samurai Theater Tokyo,64.0,"[
  ""Museum"",
  ""Martial arts school""
]",Museum,https://www.samurai-theater.com/en/,general,35.7017318,139.73567079999998,D
TNM & TOPPAN Museum Theater,30.0,"[
  ""Museum""
]",Museum,http://www.toppan-vr.jp/mt/,general,35.7177326,139.7765049,E
Yamada Yōji Museum,140.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.katsushika-kanko.com/yamada-yoji-museum/,general,35.7571881,139.8806233,D
Japan-China Friendship Center Art Museum,43.0,"[
  ""Art museum""
]",Art museum,https://jcfcmuseum.jp/,art,35.7040404,139.74796949999998,E
Chiisanakaino Museum,5.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://latiaxis.my.coocan.jp/info/saito/psm.htm,general,35.693194999999996,139.6873685,E
Tokyo Some Monogatari Museum,7.0,"[
  ""Museum""
]",Museum,https://sarakichi.tokyo/experience/,general,35.7132681,139.7164491,E
Dagashiya Game Museum,336.0,"[
  ""Toy museum"",
  ""Museum"",
  ""Tourist attraction""
]",Toy museum,http://dgm.starfree.jp/,specialty,35.7639965,139.70263549999999,D
HOSEI Museum,8.0,"[
  ""Museum""
]",Museum,https://museum.hosei.ac.jp/,general,35.693829199999996,139.7407739,E
Nakamura Tsune Atelier Museum,153.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,http://www.regasu-shinjuku.or.jp/rekihaku/tsune/40357/,art,35.7208863,139.7011871,D
Ichikawa Archaeology Museum,114.0,"[
  ""Archaeological museum"",
  ""Tourist attraction""
]",Archaeological museum,https://www.city.ichikawa.lg.jp/edu14/,history,35.7591046,139.91210519999998,D
Oedo Museum,,"[
  ""Museum""
]",Museum,,general,35.712202999999995,139.726167,E
Tsumami Kanzashi Museum,12.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://kanzashi.org/,general,35.7102976,139.7021122,E
Ghibli Museum,16155.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.ghibli-museum.jp/,art,35.696238,139.5704317,A
Suginami Animation Museum,909.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://sam.or.jp/,general,35.7105716,139.60779399999998,C
Suginami Historical Museum,265.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,http://www.city.suginami.tokyo.jp/histmus/index.html,history,35.685916899999995,139.6454468,D
Sculpture Atelier,12.0,"[
  ""Sculpture museum""
]",Sculpture museum,https://www.tokyo-zoo.net/zoo/ino/,art,35.6997971,139.5696875,E
Kichijōji Art Museum,221.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.musashino.or.jp/museum/,art,35.7050207,139.57897939999998,D
Provincial Museum annex,107.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,http://www.city.suginami.tokyo.jp/shisetsu/bunka/hakubutsukan/1007013.html,history,35.708867399999995,139.6212081,D
Tokyo Art Museum,62.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,http://www.tokyoartmuseum.com/,art,35.6607711,139.58721269999998,D
Sculpture Museum House B,22.0,"[
  ""Sculpture museum""
]",Sculpture museum,https://www.tokyo-zoo.net/zoo/ino/,art,35.7004721,139.5692051,E
Setagaya Literary Museum,1371.0,"[
  ""Museum""
]",Museum,http://www.setabun.or.jp/,general,35.6669245,139.6086785,C
Seiyu Museum,4.0,"[
  ""Museum""
]",Museum,,general,35.6751001,139.6707612,E
Karasawa Museum,29.0,"[
  ""Heritage museum"",
  ""Museum"",
  ""Tourist attraction""
]",Heritage museum,http://karasawamuseum.com/,history,35.733032,139.66255999999998,E
Horseman Museum,1.0,"[
  ""Museum""
]",Museum,https://www.kenko-tokina.co.jp/service-shop/,general,35.7098083,139.66515189999998,E
ミサワバウハウスコレクション,2.0,"[
  ""Art museum""
]",Art museum,http://www.bauhaus.ac/,art,35.679480999999996,139.6143395,E
Seikei Gakuen Museum,8.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.seikei.ac.jp/gakuen/archive/,general,35.7104241,139.5732506,E
Nihonseishinigaku Museum,4.0,"[
  ""Museum""
]",Museum,,general,35.666550799999996,139.6192199,E
Saita Museum,43.0,"[
  ""Art museum""
]",Art museum,http://saita-museum.jp/,art,35.6534137,139.65994659999998,E
Sculpture Museum,75.0,"[
  ""Sculpture museum""
]",Sculpture museum,https://www.tokyo-zoo.net/zoo/ino/,art,35.7001837,139.5693281,D
Yuzo Yamamoto Memorial Museum,131.0,"[
  ""Museum"",
  ""City Hall"",
  ""Tourist attraction""
]",Museum,https://mitaka-sportsandculture.or.jp/yuzo/,general,35.699567699999996,139.56771,D
Tokutomi Roka Memorial Museum,23.0,"[
  ""Local history museum""
]",Local history museum,,history,35.6623119,139.61114419999998,E
Toshima City Tokiwaso Manga Museum,920.0,"[
  ""Museum"",
  ""Local history museum"",
  ""Tourist attraction""
]",Museum,https://www.tokiwasomm.jp/,general,35.724289899999995,139.6859984,C
Saneatsu Mushanokōji Memorial Museum,189.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.mushakoji.org/,general,35.656689,139.581297,D
Color Museum,2.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://color-museum.jp/,art,35.666249,139.702945,E
"Komaba Museum, The University of Tokyo",96.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://museum.c.u-tokyo.ac.jp/,general,35.659334,139.6857182,D
PARCO MUSEUM TOKYO,118.0,"[
  ""Museum"",
  ""Art museum""
]",Museum,https://art.parco.jp/,general,35.661797299999996,139.69884589999998,D
Scout Museum,,"[
  ""Museum""
]",Museum,,general,35.7193535,139.6184741,E
Fujiko · F · Fujio Museum,8539.0,"[
  ""Museum"",
  ""Children's museum"",
  ""Modern art museum"",
  ""Tourist attraction""
]",Museum,https://fujiko-museum.com/,general,35.6099229,139.5735723,A
Cimatti Museum,17.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.v-cimatti.com/,general,35.6620108,139.5429582,E
STONEWELL ART GALLERY Ishii Russia Kaiga Museum,4.0,"[
  ""Art museum""
]",Art museum,https://www.ishii-gallery.com/artgallery/,art,35.6831922,139.5691846,E
Natural History Museum of Los Angeles County,12545.0,"[
  ""Natural history museum"",
  ""Museum"",
  ""Tourist attraction""
]",Natural history museum,https://nhm.org/,history,34.0171448,-118.2886635,A
SOMPO Museum of Art,2606.0,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,https://www.sompo-museum.org/,art,35.6925497,139.6965181,B
Suwa Lucanidae Museum,26.0,"[
  ""Museum of zoology""
]",Museum of zoology,,history,35.6967783,139.5698773,E
Hermosa Beach Museum,39.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.hermosabeachhistoricalsociety.org/,general,33.864073,-118.39422019999999,E
Los Angeles County Museum of Art,19422.0,"[
  ""Art museum"",
  ""Art center"",
  ""Art gallery"",
  ""History museum"",
  ""Performing arts group"",
  ""Performing arts theater"",
  ""Tourist attraction""
]",Art museum,https://www.lacma.org/,art,34.0639323,-118.3592293,A
Inokashira Park Zoo,7384.0,"[
  ""Zoo"",
  ""Amusement park"",
  ""Aquarium"",
  ""Cultural landmark"",
  ""Nature preserve"",
  ""Sculpture museum"",
  ""Tourist attraction""
]",Zoo,http://www.tokyo-zoo.net/zoo/ino/,zoo,35.7007724,139.5727436,A
つつじヶ丘アトリエ,,"[
  ""Modern art museum""
]",Modern art museum,,art,35.6605935,139.5752669,E
Koekizaidan Hojin Sozei Museum,18.0,"[
  ""Museum""
]",Museum,https://www.sozeishiryokan.or.jp/,general,35.6851319,139.6647801,E
Gakki Museum,13.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.musashino-music.ac.jp/guide/facilities/museum/,general,35.741036,139.6721853,E
Roppongi Keyakizaka Museum,4.0,"[
  ""Museum""
]",Museum,,general,35.6596353,139.73098629999998,E
"Banksy Exhibition GMO Digital Museum, Shibuya, Tokyo",178.0,"[
  ""Art museum""
]",Art museum,https://banksy.tokyo/,art,35.6576545,139.7003114,D
Astronomy・Science Information Center,38.0,"[
  ""Technology museum""
]",Technology museum,https://mitakatkjs.mall.mitaka.ne.jp/,stem,35.6995338,139.5612037,E
TUAT Science Museum,120.0,"[
  ""Science museum"",
  ""Technology museum"",
  ""Tourist attraction""
]",Science museum,http://www.tuat-museum.org/,stem,35.698086599999996,139.5188624,D
Kigumi Museum,71.0,"[
  ""Handicraft museum"",
  ""Museum""
]",Handicraft museum,http://www.kigumi.tokyo/,specialty,35.707901899999996,139.7174166,D
福沢一郎記念館,6.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://fukuzmuseum.com/,art,35.6410591,139.606047,E
Nihon University College of Humanities & Sciences MUSEUM,,"[
  ""Museum""
]",Museum,https://www.chs.nihon-u.ac.jp/museum/,general,35.663209099999996,139.6353829,E
UEC Museum of Communications,15.0,"[
  ""Technology museum""
]",Technology museum,http://www.museum.uec.ac.jp/,stem,35.6587809,139.5444875,E
Workstation.,,"[
  ""Museum"",
  ""Art gallery""
]",Museum,http://work-station.tumblr.com/,general,35.708470399999996,139.64801989999998,E
Koga Masao Museum of Music,258.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.koga.or.jp/,general,35.6680359,139.6798164,D
Ancient Egyptian Museum,49.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.egyptian.jp/,art,35.662385,139.700606,E
Riyo Museum,2.0,"[
  ""Museum""
]",Museum,https://www.riyo.or.jp/service/%E7%90%86%E5%AE%B9%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0/,general,35.6839169,139.7011963,E
Mitaka - Music Box Museum,46.0,"[
  ""Museum""
]",Museum,http://mitakaorgel.jp/,general,35.7014049,139.5587669,E
The University of Tokyo Farm Museum,2.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://www.isas.a.u-tokyo.ac.jp/museum/index.html,general,35.7355576,139.5389148,E
Institute of Science Tokyo Museum and Archives,63.0,"[
  ""Technology museum"",
  ""Tourist attraction""
]",Technology museum,http://www.cent.titech.ac.jp/,stem,35.6068462,139.6848354,D
Bunkamura,5362.0,"[
  ""Art center"",
  ""Art museum"",
  ""Fairground"",
  ""Philharmonic hall"",
  ""Tourist attraction""
]",Art center,https://www.bunkamura.co.jp/,Art center,35.660664,139.6950525,A
Chikyushi Museum,1.0,"[
  ""Museum""
]",Museum,http://www.mue.titech.ac.jp/index.html,general,35.601635,139.68420609999998,E
Meguro Museum of Art,577.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.mmat.jp/,art,35.6348759,139.7077219,C
Setagaya Art Museum,1956.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.setagayaartmuseum.or.jp/,art,35.6314396,139.622121,C
Star Museum,6.0,"[
  ""Art museum""
]",Art museum,,art,35.595893,139.61293999999998,E
Hasegawa Machiko Memorial Museum of Art,853.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.hasegawamachiko.jp/,art,35.6279581,139.643655,C
Setagaya Art Museum Saburo Miyamoto Memorial Art Museum,61.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.miyamotosaburo-annex.jp/index.htm,art,35.6046,139.666397,D
Ota City Local History Museum,330.0,"[
  ""Local history museum"",
  ""Tourist attraction""
]",Local history museum,http://www.city.ota.tokyo.jp/seikatsu/manabu/hakubutsukan/index.html,history,35.588528499999995,139.710621,D
Gotoh Museum,807.0,"[
  ""Art museum"",
  ""Museum""
]",Art museum,https://www.gotoh-museum.or.jp/,art,35.6123142,139.6356055,C
PLAY! PARK ERIC CARLE,179.0,"[
  ""Museum""
]",Museum,https://playec.jp/,general,35.6123325,139.6284626,D
The Museum of Zen Culture & History,36.0,"[
  ""Heritage museum"",
  ""Museum"",
  ""Tourist attraction""
]",Heritage museum,https://www.komazawa-u.ac.jp/facilities/museum/,history,35.6284766,139.6581046,E
Hasegawa Machiko Memorial Museum,116.0,"[
  ""Museum""
]",Museum,https://www.hasegawamachiko.jp/memorial-museum/,general,35.6279681,139.6432848,D
Masanari Murai Memorial Museum of Art,10.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.muraimasanari.com/,general,35.6082152,139.6450697,E
Tokyo Photographic Art Museum,1026.0,"[
  ""Art museum"",
  ""Library"",
  ""Movie theater""
]",Art museum,http://topmuseum.jp/,art,35.6416411,139.71328929999999,C
Katsu Kaishu Memorial Museum,325.0,"[
  ""Museum""
]",Museum,https://www.city.ota.tokyo.jp/shisetsu/hakubutsukan/katsu_kinenkan/index.html,general,35.6021134,139.6922741,D
Museum of Contemporary Sculpture,79.0,"[
  ""Sculpture museum"",
  ""Tourist attraction""
]",Sculpture museum,http://www.museum-of-sculpture.org/,art,35.635957999999995,139.70308699999998,D
Accessory Museum,147.0,"[
  ""Museum"",
  ""Antique store"",
  ""Fashion accessories store"",
  ""Tourist attraction""
]",Museum,http://acce-museum.main.jp/,general,35.640277,139.68859999999998,D
Matsuoka Museum,445.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.matsuoka-museum.jp/,art,35.640038499999996,139.7219841,D
Kawasaki Peace Museum,288.0,"[
  ""War museum"",
  ""Tourist attraction""
]",War museum,http://www.city.kawasaki.jp/shisetsu/category/21-21-0-0-0-0-0-0-0-0.html,history,35.568847,139.65885649999998,D
Hiyoshi-no-Mori Garden Art Museum,34.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://hiyoshinomori.com/,art,35.5594682,139.63476509999998,E
Showa Era Lifestyle Museum,252.0,"[
  ""History museum"",
  ""Museum""
]",History museum,https://www.showanokurashi.com/,history,35.575205,139.6858451,D
Mitutoyo Museum,35.0,"[
  ""Technology museum"",
  ""Tourist attraction""
]",Technology museum,http://www.mitutoyo.co.jp/corporate/hall/museum/index.html,stem,35.5975374,139.6205737,E
日本漫画博物館（まんが寺）,6.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,https://kanko.travel.rakuten.co.jp/kanagawa/spot/S14010286.html,general,35.586513599999996,139.6448603,E
"Memorial Museum for Soldiers, Detainees in Siberia, and Postwar Repatriates",470.0,"[
  ""War museum""
]",War museum,https://www.heiwakinen.go.jp/,history,35.6914206,139.6925951,D
Ota Ward Ryushi Memorial Museum,278.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.ota-bunka.or.jp/ryushi/,general,35.5823901,139.7153754,D
Meiji Memorial Museum,991.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,http://www.meijijingugaien.jp/art-culture/seitoku-gallery/,art,35.6788313,139.71762139999998,C
JCII Camera Museum,264.0,"[
  ""Technology museum"",
  ""Museum"",
  ""Tourist attraction""
]",Technology museum,http://www.jcii-cameramuseum.jp/,stem,35.6860612,139.7429439,D
Watarium Art Museum,753.0,"[
  ""Modern art museum"",
  ""Art museum"",
  ""Tourist attraction""
]",Modern art museum,http://www.watarium.co.jp/,art,35.6707251,139.7133581,C
大山街道ふるさと館,197.0,"[
  ""Local history museum"",
  ""History museum"",
  ""Tourist attraction""
]",Local history museum,https://www.furusatokan.info/,history,35.603407499999996,139.6128972,D
Setagaya Peace Museum,63.0,"[
  ""Local history museum""
]",Local history museum,https://www.city.setagaya.lg.jp/02422/9014.html,history,35.644320199999996,139.68079269999998,D
Japan Folk Crafts Museum,967.0,"[
  ""Museum""
]",Museum,https://www.mingeikan.or.jp/,general,35.660829,139.67921339999998,C
