name,reviews,types,type,website,latitude,longitude,popularity
UNITED ARROWS LTD. OUTLET KOSHIGAYA,158.0,"[
  ""Clothing store"",
  ""Bag shop"",
  ""Fashion accessories store"",
  ""General store"",
  ""Hat shop"",
  ""Outerwear store"",
  ""Shoe store""
]",Clothing store,https://store.united-arrows.co.jp/s/olt/stores/okg.html,35.8807146,139.82502069999998,D
G-Star Outlet,36.0,"[
  ""Clothing store"",
  ""Jeans shop"",
  ""Fashion accessories store"",
  ""Men's clothing store"",
  ""Outlet store"",
  ""Shoe store"",
  ""Sunglasses store"",
  ""Women's clothing store""
]",Clothing store,https://outlet.g-star.com/stores/jp/g-star-outlet-iruma?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=listing&y_source=1_OTgxOTAzMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,35.8101953,139.3802121,E
Sanyo GB Outlet,26.0,"[
  ""Outlet store""
]",Outlet store,https://www.sanyo-shokai.co.jp/brand/sanyogandb/,35.7111924,139.6852956,E
GMT OUTLET,2.0,"[
  ""Shoe store""
]",Shoe store,,35.6703372,139.6818652,E
ASICS Factory Outlet Makuhari,252.0,"[
  ""Sporting goods store"",
  ""Bag shop"",
  ""Clothes market"",
  ""Outlet store"",
  ""Running store"",
  ""Shoe repair shop"",
  ""Shoe store"",
  ""Sportswear store""
]",Sporting goods store,https://www.asics.com/jp/ja-jp/?utm_campaign=202305_gbp_stores&utm_source=factoryoutlet&utm_medium=referral,35.6472619,140.0409731,D
UNITED ARROWS LTD. OUTLET MAKUHARI,141.0,"[
  ""Clothing store"",
  ""Bag shop"",
  ""Fashion accessories store"",
  ""General store"",
  ""Hat shop"",
  ""Outerwear store"",
  ""Shoe store""
]",Clothing store,https://store.united-arrows.co.jp/s/olt/stores/omh.html,35.646634999999996,140.0417814,D
ASICS Factory Outlet Minami Osawa,66.0,"[
  ""Sporting goods store"",
  ""Bag shop"",
  ""Clothes market"",
  ""Outlet store"",
  ""Running store"",
  ""Shoe store"",
  ""Sportswear store""
]",Sporting goods store,https://www.asics.com/jp/ja-jp/?utm_campaign=202305_gbp_stores&utm_source=factoryoutlet&utm_medium=referral,35.6142879,139.3775646,D
Venchi Kisarazu MITSUI OUTLET PARK,29.0,"[
  ""Pastry shop"",
  ""Chocolate shop"",
  ""Ice cream shop""
]",Pastry shop,https://venchi.co.jp/,35.4368925,139.9339407,E
Adidas Factory Outlet,648.0,"[
  ""Sportswear store""
]",Sportswear store,https://shop.adidas.jp/,35.6467832,140.0404274,C
Etro Outlet SANO,84.0,"[
  ""Clothing store"",
  ""Fashion accessories store"",
  ""Haute couture fashion house"",
  ""Outlet store""
]",Clothing store,http://www.etro.com/,36.292449999999995,139.604905,D
BELLE MAISON outlet 五反田TOC / ベルメゾン アウトレット,10.0,"[
  ""Linens store""
]",Linens store,http://www.inter-commerce.co.jp/shops_g.html,35.6222466,139.7193629,E
B.C STOCK JOURNAL STANDARD OUTLET STORE 幕張店,25.0,"[
  ""Clothing store"",
  ""Men's clothing store"",
  ""Women's clothing store""
]",Clothing store,https://baycrews.jp/store/detail/0763?utm_source=google&utm_medium=organic&utm_campaign=web_store_0763&utm_contents=web_url,35.646864099999995,140.0420886,E
VAN OUTLET,3.0,"[
  ""Men's clothing store""
]",Men's clothing store,https://mitsui-shopping-park.com/mop/makuhari/shop/2189126.html,35.647551799999995,140.0420246,E
Patagonia Surf Tokyo / Outlet,246.0,"[
  ""Outdoor sports store"",
  ""Sporting goods store""
]",Outdoor sports store,http://www.patagonia.com/jp/patagonia.go?assetid=7977,35.670051,139.7085735,D
Bic Camera Outlet x Sofmap Yokohama Vivre Store,524.0,"[
  ""Electronics store"",
  ""Computer accessories store"",
  ""Computer service"",
  ""Computer store"",
  ""Computer support and services"",
  ""Outlet store"",
  ""Used computer store""
]",Electronics store,https://www.sofmap.com/tenpo/contents/?id=shops&sid=yokohama&utm_source=google&utm_medium=map&utm_campaign=yokohama,35.4650739,139.6183378,C
MARC JACOBS Premium Outlet Fukayahanazono,16.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.marcjacobs.jp/,36.134010499999995,139.24846359999998,E
Fashion Outlets of Niagara Falls USA,13122.0,"[
  ""Clothing store"",
  ""Shopping mall"",
  ""Restaurant""
]",Clothing store,https://www.fashionoutletsniagara.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,43.098979799999995,-78.9781667,A
adidas Outlet Store Cypress,631.0,"[
  ""Sportswear store"",
  ""Clothing store"",
  ""Exercise equipment store"",
  ""Shoe store""
]",Sportswear store,https://go.adidas.com/ihha/11c0ab86,29.997911499999997,-95.75641979999999,C
The Outlet Shoppes at Gettysburg,4121.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.theoutletshoppesatgettysburg.com/,39.7952821,-77.20093709999999,B
Burberry Outlet,358.0,"[
  ""Clothing store""
]",Clothing store,https://stores.burberry.com/ja/jp/gotemba/gotemba-outlet?utm_source=GooglePlaces&utm_medium=organic&utm_campaign=JP8887,35.3063985,138.9628442,D
Murasaki Sports Outlet Koshigaya Lake Town Outlet Store,246.0,"[
  ""Clothing store"",
  ""Sporting goods store"",
  ""General store"",
  ""Novelty store"",
  ""Outlet store"",
  ""Shoe store"",
  ""Snowboard shop"",
  ""Sunglasses store"",
  ""Surf shop"",
  ""Swimwear store""
]",Clothing store,https://shop.murasaki.jp/detail/417/,35.8800485,139.8257317,D
adidas Factory Outlet Minamiosawa,415.0,"[
  ""Sportswear store""
]",Sportswear store,https://shop.adidas.jp/,35.6147797,139.3779779,D
Tory Burch Outlet,349.0,"[
  ""Women's clothing store"",
  ""Fashion accessories store""
]",Women's clothing store,https://www.toryburch.com/en-us/store-locator/us/cypress-houston-premium-outlet/543/,29.997708399999997,-95.75663139999999,D
Outlets Sarasota,20.0,"[
  ""Clothing store""
]",Clothing store,,27.5341584,-82.507117,E
Bend Factory Outlet Stores,1276.0,"[
  ""Outlet mall"",
  ""Outlet store""
]",Outlet mall,http://www.bendfactorystores.com/,44.026906499999996,-121.31287809999999,C
adidas Factory Outlet Gotemba,1419.0,"[
  ""Sportswear store""
]",Sportswear store,https://shop.adidas.jp/,35.308001499999996,138.9669145,C
Gap Outlet,53.0,"[
  ""Clothing store""
]",Clothing store,http://gapoutletjp.tumblr.com/,35.653811399999995,139.8823672,D
Yamada Outlet,153.0,"[
  ""Electronics store"",
  ""Air conditioning store"",
  ""Cell phone store"",
  ""Computer service"",
  ""Refrigerator store"",
  ""Used appliance store"",
  ""Used computer store"",
  ""Washer & dryer store""
]",Electronics store,,36.2949705,139.3601583,D
BEAMS OUTLET TAMA MINAMI OSAWA,347.0,"[
  ""Clothing store""
]",Clothing store,https://www.beams.co.jp/shop/tmo/,35.6154491,139.37821209999998,D
Kelty・Sierra Designs Outlet Store Yaesu,4.0,"[
  ""Outdoor clothing and equipment shop""
]",Outdoor clothing and equipment shop,http://www.kelty.co.jp/item/outlet-store/,35.6825184,139.7707465,E
BALENCIAGA Outlet,7.0,"[
  ""Women's clothing store"",
  ""Fashion accessories store"",
  ""Shoe store""
]",Women's clothing store,https://www.balenciaga.com/,36.3409176,138.633537,E
Puma Outlet Yokohama,113.0,"[
  ""Sporting goods store"",
  ""Fashion accessories store"",
  ""Sportswear store""
]",Sporting goods store,http://jp.puma.com/jp/ja/home,35.379649799999996,139.6455174,D
Ships Outlet,179.0,"[
  ""Clothing store""
]",Clothing store,https://www.shipsltd.co.jp/shop/1728/,36.3401626,138.6330666,D
Michael Kors Outlet,11.0,"[
  ""Outlet store"",
  ""Clothing store"",
  ""Fashion accessories store"",
  ""Shoe store"",
  ""Watch store""
]",Outlet store,https://www.michaelkors.jp/?utm_source=GMB&utm_medium=GMB&utm_campaign=StoreInfo&y_source=1_OTI4NDc2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,35.615043899999996,139.37818629999998,E
Denver Premium Outlets,4987.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.com/outlet/denver,39.9473688,-104.9857779,B
IDC Otsuka Outlet & Re-worth Yokohama,150.0,"[
  ""Furniture store"",
  ""Bed shop"",
  ""Carpet store"",
  ""Curtain store"",
  ""Home goods store"",
  ""Lighting store""
]",Furniture store,https://www.idc-otsuka.jp/showroom/outlet_reworth_yokohama,35.500805799999995,139.6975989,D
P . S . FA Perfect Suit FActory OUTLET Koshigayaten,51.0,"[
  ""Clothing store"",
  ""Clothing alteration service"",
  ""Dressmaker"",
  ""Fashion accessories store"",
  ""Formal wear store"",
  ""Luggage store"",
  ""Men's clothing store"",
  ""Men's tailor"",
  ""Women's clothing store"",
  ""Youth clothing store""
]",Clothing store,https://perfect-s.com/shop_info/detail/0589?utm_source=google&utm_medium=map&utm_campaign=profile_PS_589,35.8796809,139.8242592,D
PUMA Shisui Outlet Store,105.0,"[
  ""Sporting goods store"",
  ""Fashion accessories store""
]",Sporting goods store,https://jp.puma.com/jp/ja/home,35.7131626,140.29359259999998,D
lululemon Gotemba Premium Outlet,47.0,"[
  ""Sportswear store"",
  ""Children's clothing store"",
  ""Men's clothing store"",
  ""Sporting goods store"",
  ""Women's clothing store""
]",Sportswear store,https://www.lululemon.co.jp/ja-jp/stores?storeId=49190,35.3059201,138.9652745,E
MaxMara Outlet Store,22.0,"[
  ""Women's clothing store"",
  ""Bag shop"",
  ""Clothing store"",
  ""Fashion accessories store"",
  ""Handbags shop"",
  ""Luggage store"",
  ""Outlet store"",
  ""Shoe store""
]",Women's clothing store,https://www.diffusionetessile.co.jp/shop/detail?real_shop_id=5,36.3397037,138.6356607,E
Ships outlet,71.0,"[
  ""Clothing store""
]",Clothing store,http://onlineshop.shipsltd.co.jp/?pl_on=10,35.646515799999996,140.0421711,D
Bottega Veneta Karuizawa Outlet,87.0,"[
  ""Boutique"",
  ""Outlet store""
]",Boutique,https://www.bottegaveneta.com/,36.3410882,138.633702,D
NEW ERA OUTLET IRUMA,114.0,"[
  ""Hat shop"",
  ""Clothing store""
]",Hat shop,https://www.neweracap.jp/,35.8099511,139.38037749999998,D
Karimoku Tsurumi Outlet,221.0,"[
  ""Furniture store"",
  ""Home goods store"",
  ""Outlet store""
]",Furniture store,https://www.karimoku.co.jp/index.cgi?mode=showroom_detail&key=23&utm_source=google&utm_medium=MEO,35.4958761,139.6848405,D
Outlet Tod's,,"[
  ""Boutique"",
  ""Clothing store"",
  ""Fashion accessories store"",
  ""Leather goods store"",
  ""Men's clothing store"",
  ""Shoe store"",
  ""Women's clothing store""
]",Boutique,http://www.todsgroup.com/,36.358429799999996,138.6357408,E
BEAMS OUTLET FUKAYA HANAZONO,7.0,"[
  ""Clothing store"",
  ""Duty free store""
]",Clothing store,https://www.beams.co.jp/shop/fho/,36.133454799999996,139.2510287,E
Bottega Veneta Gotemba Outlet,62.0,"[
  ""Boutique"",
  ""Outlet store""
]",Boutique,https://www.bottegaveneta.com/,35.3060391,138.96196799999998,D
